ln_green_applications_total,ln_application_difference,ln_green_invention_applications,ln_green_utility_applications,ln_invention_application_difference,ln_utility_application_difference,ln_green_obtained_total,green_applications_total,green_innovation_dummy2,green_rate,green_rate_obtained,r_and_d_staff_rate,r_and_d_expenditure_10k,r_and_d_staff_count,ln_rnd_exp_over_total_assets,operating_cost1_over_assets_growth,operating_cost_growth,social_responsibility_score_growth,ln_environmental_investment,sumfine_over_total_assets_e3,sumfine_over_total_assets_original,ln_sumfine_over_total_assets_e3,sumfine,penalty_count,penalty_dummy,sum_news,sum_news_div100,sumfine_over_revenue_e3,sumfine_original_w_over_assets_e3,size,leverage,cashflow,firm_growth_w,firm_growth,historical_performance,market_power_517,market_power,capital_intensity,management_shareholding,pc,listing_age,state_owned,size_w,lev_w,cashflow_w,historical_performance_w,management_shareholding_w,pc_w,market_power_w,firm_growth_w,capital_intensity_w,id,pid,indid,year,analyst_attention01_mean,esg_increase,media_cover,cover_x_sumfine_over_assets_e3,province_max_penalty_count,province_max_penalty_amount,province_max_penalty_intensity,province_avg_penalty_intensity,province_industry_max_penalty_count,province_industry_max_penalty_amount,province_industry_avg_penalty_amount,province_industry_max_penalty_intensity,heavy_pollution,penalty_strengthen,env_subsidy_over_assets01,env_subsidy_over_assets0132,env_subsidy0132_x_sumfine_over_assets_e3,analyst_attention01_mean_x_sumfine_over_assets_e3,esg_increase_x_sumfine_over_assets_e3,quan_firm_strategy_index,green_executive,sumfine_over_assets_e3_nozero,aqi,pscore,ranorder,so2_div_e3,xsumfine,environmental_tax,emissions_trading_2007_start,carbon_trading_2013_start,word_count,ln_total_reduction_technology_environment_transformation_1000_over_word_count,province_industry_avg_penalty_amount,province_avg_penalty_count,province_avg_penalty_intensity,peers_mean_over_assets_e3_excluding_non_penalty
3.0445225,5.598422,2.0794415,2.6390574,4.304065,5.2832036,2.9957323,20.0,0.0,0.06896552,0.109195404,0.013518519,38171.105,146.0,-3.9135246,1.0,0.988331,4.720001,18.68341,0.0,,0.0,0.0,0.0,0.0,12.0,0.12,0.0,0.0,23.673698,0.5056337,0.11145506,-0.024765862,-0.024765862,0.04518,0.267404,4.351089,14.386397,0.6029,0.0,3.295837,0.0,23.673698,0.5056337,0.11145506,0.04518,0.6029,0.0,4.351089,-0.024765862,14.386397,12.0,19.0,30.0,2018.0,0.0,0.0,0.0,0.0,21.0,246.0,1.4848632,0.03568407,2.0,12.0,2.6,0.010965997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,50.666668,0.31584860109672286,0.83145505,0.00675,0.013790905,1.0,0.0,1.0,43986.0,1.5867015,2.6,1.1532258,0.03568407,0.0
2.8332133,5.786897,1.609438,2.5649493,4.553877,5.4467373,2.4849067,16.0,0.0,0.046783626,0.048245613,0.017600918,44088.465,184.0,-3.7204616,1.0,0.9535308,2.5599995,18.290052,0.0027470663,2.7470662e-06,0.0027433,5.0,1.0,1.0,24.0,0.24,0.0047746245,0.002747066,23.624756,0.45795685,0.1307074,-0.013000508,-0.013000508,0.024436,0.30190176,4.31439,14.370015,0.3327,0.0,3.3322046,0.0,23.624756,0.45795685,0.1307074,0.024436,0.3327,0.0,4.31439,-0.013000508,14.370015,12.0,19.0,30.0,2019.0,0.0,0.0,0.0,0.0,10.0,158.0,0.39077514,0.023645017,2.0,50.0,11.8,0.08342675,0.0,0.0,1.0,1.0,0.0027470663,0.0,0.0,1.0,0.0,0.0027470663,57.5,0.31101387516041684,0.36994618,0.005,0.01408318,1.0,0.0,1.0,48043.0,1.673249,11.8,1.0967742,0.023645017,0.0074170786
2.1972246,5.7137327,0.6931472,2.0794415,4.919981,5.117994,2.6390574,8.0,0.0,0.025723472,0.048507463,0.016101534,43464.15,170.0,-3.7170794,0.0,0.9614285,2.9400005,19.965324,0.0,,0.0,0.0,0.0,0.0,19.0,0.19,0.0,0.0,23.607111,0.40636724,0.15269433,0.019024523,0.019024523,0.030037,0.36008263,4.256577,14.342472,0.1924,0.0,3.3672957,0.0,23.607111,0.40636724,0.15269433,0.030037,0.1924,0.0,4.256577,0.019024523,14.342472,12.0,19.0,30.0,2020.0,0.0,0.0,0.0,0.0,2.0,52.28,0.26328143,0.0031542764,1.0,20.0,4.0,0.26328143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,46.583332,0.3137582845630569,0.09850269,0.00575,0.012226165,1.0,0.0,1.0,50155.0,1.474661,4.0,0.09677419,0.0031542764,0.0
2.0794415,4.727388,1.3862944,1.609438,4.4426513,3.3672957,2.4849067,7.0,0.0,0.058333334,0.05140187,,55119.7,173.0,-3.5883589,1.0,,,,,,,,0.0,0.0,,,,,23.715961,0.404872,0.19569753,0.2771727,0.2771727,0.045003,0.43184274,,,0.1528,,3.4011974,0.0,23.715961,0.404872,0.19569753,0.045003,0.1528,,,0.2771727,,12.0,19.0,30.0,2021.0,0.0,0.0,1.0,,0.0,,,,0.0,,,,0.0,0.0,1.0,1.0,,,,1.0,0.0,,53.75,,0.954868,0.00625,,1.0,0.0,1.0,47403.0,1.8497628,,0.0,,
3.912023,5.030438,3.8066626,1.7917595,4.356709,4.3307333,3.1354942,49.0,0.0,0.24257426,0.106796116,0.06542258,22939.729,1213.0,-4.1290827,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,151.0,1.51,0.0,0.0,23.380049,0.78418446,0.090495944,-0.052941673,-0.052941673,0.003722,0.13603725,4.4742846,13.552309,0.0,0.0,3.1780539,1.0,23.380049,0.78418446,0.090495944,0.003722,0.0,0.0,4.4742846,-0.052941673,13.552309,16.0,19.0,39.0,2015.0,1.0,0.0,1.0,0.0,1.0,8.0,0.10652074,0.00096919836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,53.083332,0.3004859447189224,0.6056952,0.008333333,0.0123710735,0.0,0.0,1.0,51859.0,0.6945057,0.0,0.027272727,0.00096919836,0.0
3.637586,4.727388,3.583519,1.0986123,3.8918202,4.1743875,2.4849067,37.0,0.0,0.24666667,0.07284768,0.06917769,19165.064,1203.0,-4.499494,0.0,1.0911111,-1.0600002,0.0,0.0,,0.0,0.0,0.0,0.0,220.0,2.2,0.0,0.0,23.570679,0.8075465,-0.056378186,0.10351469,0.10351469,-0.082234,0.14734103,4.46336,13.807029,0.0,0.0,3.218876,1.0,23.570679,0.8075465,-0.056378186,-0.082234,0.0,0.0,4.46336,0.10351469,13.807029,16.0,19.0,39.0,2016.0,1.0,0.0,1.0,0.0,4.0,32.0,0.06619183,0.0024496429,1.0,11.0,0.62430954,0.035215158,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,54.833332,0.24936597545739797,0.97327083,0.00825,0.0138279805,0.0,0.0,1.0,52758.0,0.82807314,0.62430954,0.16949153,0.0024496429,0.0
2.6390574,5.0172796,2.0794415,1.9459101,4.204693,4.4426513,1.7917595,13.0,0.0,0.07926829,0.030674847,0.07591741,32967.7,1353.0,-4.269139,1.0,1.5862805,24.029999,0.0,0.0,,0.0,0.0,0.0,0.0,36.0,0.36,0.0,0.0,23.882763,0.6520106,-0.18312773,0.53836286,0.53836286,0.005854,0.11666785,4.4952126,14.094574,0.0011,0.0,3.2580965,1.0,23.882763,0.6520106,-0.1179983,0.005854,0.0011,0.0,4.4952126,0.53836286,14.094574,16.0,19.0,39.0,2017.0,1.0,0.0,0.0,0.0,7.0,84.4738,0.04668907,0.0017183105,1.0,12.0,0.65217394,0.0063505527,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,56.333332,0.2448202906903586,0.4458032,0.00775,0.010366375,0.0,0.0,1.0,61085.0,0.8650535,0.65217394,0.34146342,0.0017183105,0.0
4.2341065,5.1532917,3.3672957,3.713572,4.3694477,4.553877,3.4011974,68.0,1.0,0.2821577,0.13302752,0.077353016,39646.016,1467.0,-4.4212346,1.0,1.5555665,-17.24,19.928726,0.018235527,1.8235527e-05,0.018071255,60.15,2.0,1.0,71.0,0.71,0.013040143,0.018235527,24.21932,0.7134652,-0.09791777,0.4771086,0.4771086,0.249343,0.06491454,4.5422015,14.36897,0.0011,0.0,3.295837,1.0,24.21932,0.7134652,-0.09791777,0.196093,0.0011,0.0,4.5422015,0.4771086,14.36897,16.0,19.0,39.0,2018.0,0.0,0.0,0.0,0.0,21.0,246.0,1.4848632,0.03568407,4.0,106.0,16.964483,0.15049674,0.0,1.0,1.0,1.0,0.018235527,0.0,0.0,2.0,0.0,0.018235527,50.666668,0.34720123910692946,0.99099237,0.00675,0.010247781,1.0,0.0,1.0,71503.0,1.5781521,16.964483,1.1532258,0.03568407,0.004402956
4.7361984,6.0844994,4.0943446,4.0073333,5.590987,5.1474943,3.871201,113.0,1.0,0.20471014,0.22596154,0.07746552,50060.01,1494.0,-4.4434958,0.0,1.2061317,6.620001,21.410215,0.0,,0.0,0.0,0.0,0.0,33.0,0.33,0.0,0.0,24.474813,0.7669076,-0.036253996,0.19494803,0.19494803,0.02365,0.055598933,4.5515656,14.607679,0.0011,0.0,3.3322046,1.0,24.474813,0.7669076,-0.036253996,0.02365,0.0011,0.0,4.5515656,0.19494803,14.607679,16.0,19.0,39.0,2019.0,0.0,0.0,0.0,0.0,10.0,158.0,0.39077514,0.023645017,6.0,145.4,21.198408,0.39077514,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,57.5,0.3286964384944542,0.55312306,0.005,0.010111108,1.0,0.0,1.0,67572.0,1.7846802,21.198408,1.0967742,0.023645017,0.0
5.5093884,6.710523,5.0689044,4.4886365,6.1696105,5.8406415,4.394449,246.0,1.0,0.23055296,0.2122016,0.0873606,68369.05,1504.0,-4.2897954,0.0,0.9128637,-4.75,22.052895,0.0,,0.0,0.0,0.0,0.0,37.0,0.37,0.0,0.0,24.63281,0.78505015,0.0035811928,-0.086490646,-0.086490646,0.008864,0.05630601,4.5507975,14.879216,0.0011,0.0,3.3672957,1.0,24.63281,0.78505015,0.0035811928,0.008864,0.0011,0.0,4.5507975,-0.086490646,14.879216,16.0,19.0,39.0,2020.0,1.0,0.0,0.0,0.0,2.0,52.28,0.26328143,0.0031542764,1.0,52.28,2.3763635,0.07558892,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,46.583332,0.34678617645787935,0.28424644,0.00575,0.008978588,1.0,0.0,1.0,73912.0,2.0513418,2.3763635,0.09677419,0.0031542764,0.0
3.871201,5.598422,3.4011974,2.944439,5.2311087,4.4308167,4.304065,47.0,0.0,0.14826499,0.17380953,,63320.58,1505.0,-4.1426973,1.0,,,,,,,,0.0,0.0,,,,,24.409004,0.74417377,0.020282535,-0.024732422,-0.024732422,0.011682,0.035329692,,,0.0011,,3.4011974,1.0,24.409004,0.74417377,0.020282535,0.011682,0.0011,,,-0.024732422,,16.0,19.0,39.0,2021.0,1.0,0.0,1.0,,0.0,,,,0.0,,,,0.0,0.0,1.0,1.0,,,,1.0,0.0,,53.75,,0.03421498,0.00625,,1.0,0.0,1.0,75675.0,1.881488,,0.0,,
0.0,2.3978953,0.0,0.0,2.3978953,0.0,0.6931472,0.0,0.0,0.0,0.125,0.041469194,862.73376,35.0,-4.811521,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,78.0,0.78,0.0,0.0,20.781967,0.09743024,-0.043342646,-0.08121475,-0.08121475,0.012384,0.31252673,4.3251266,14.043815,0.0668,1.0,3.1780539,1.0,20.781967,0.09743024,-0.043342646,0.012384,0.0668,1.0,4.3251266,-0.08121475,14.043815,19.0,19.0,15.0,2015.0,1.0,0.0,0.0,0.0,1.0,8.0,0.10652074,0.00096919836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,53.083332,0.1416996535097137,0.033703186,0.008333333,0.011507648,0.0,0.0,1.0,39390.0,0.97462195,0.0,0.027272727,0.00096919836,0.0
0.0,2.0794415,0.0,0.0,2.0794415,0.0,0.0,0.0,0.0,0.0,0.0,0.042912874,777.0754,33.0,-5.0216675,0.0,0.82705116,24.560001,0.0,0.0,,0.0,0.0,0.0,0.0,46.0,0.46,0.0,0.0,20.887545,0.1092918,0.052387167,-0.19170955,-0.19170955,-0.038789,0.28958163,4.3197603,14.242455,0.0676,0.0,3.218876,1.0,20.887545,0.1092918,0.052387167,-0.038789,0.0676,0.0,4.3197603,-0.19170955,14.242455,19.0,19.0,15.0,2016.0,1.0,0.0,0.0,0.0,4.0,32.0,0.06619183,0.0024496429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,54.833332,0.14881988197504778,0.9815957,0.00825,0.010122254,0.0,0.0,1.0,41916.0,0.8586034,0.0,0.16949153,0.0024496429,0.0
0.0,1.0986123,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.046511628,876.996,32.0,-4.8044424,1.0,1.2015579,-22.7,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,0.19,0.0,0.0,20.791285,0.10018149,-0.08867322,0.15501682,0.15501682,0.080523,0.25007758,4.372673,14.257497,0.0676,0.0,3.2580965,1.0,20.791285,0.10018149,-0.08867322,0.080523,0.0676,0.0,4.372673,0.15501682,14.257497,19.0,19.0,15.0,2017.0,1.0,0.0,0.0,0.0,7.0,84.4738,0.04668907,0.0017183105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,56.333332,0.13775705023906815,0.27460024,0.00775,0.012820358,0.0,0.0,1.0,42720.0,0.86755675,0.0,0.34146342,0.0017183105,0.0
0.6931472,1.7917595,0.0,0.6931472,1.609438,0.6931472,0.0,1.0,1.0,0.14285715,0.0,0.061131388,1097.9464,67.0,-6.3787427,1.0,39.421497,15.58,0.0,0.0,,0.0,0.0,0.0,0.0,14.0,0.14,0.0,0.0,22.59028,0.32947424,0.046236802,2.1992931,33.07237,-0.054473,0.10425299,4.5023465,15.5908575,0.0257,0.0,3.295837,1.0,22.59028,0.32947424,0.046236802,-0.054473,0.0257,0.0,4.5023465,2.1992931,15.5908575,19.0,19.0,15.0,2018.0,1.0,0.0,0.0,0.0,21.0,246.0,1.4848632,0.03568407,1.0,3.0,1.5,0.0024604178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,50.666668,0.22544559867784883,0.2017227,0.00675,0.003758888,1.0,0.0,1.0,72324.0,1.1002333,1.5,1.1532258,0.03568407,0.0
0.0,1.9459101,0.0,0.0,1.3862944,1.3862944,0.6931472,0.0,0.0,0.0,0.11111111,0.07401177,3885.526,88.0,-5.161161,0.0,1.0269942,2.9099998,0.0,0.044280004,4.4280005e-05,0.043327656,30.0,1.0,1.0,9.0,0.09,0.027124813,0.044280004,22.636515,0.3175805,0.028051946,0.027995871,0.027995871,0.051835,0.10522786,4.5012107,15.555647,0.0088,0.0,3.3322046,1.0,22.636515,0.3175805,0.028051946,0.051835,0.0088,0.0,4.5012107,0.027995871,15.555647,19.0,19.0,51.0,2019.0,1.0,1.0,0.0,0.0,10.0,158.0,0.39077514,0.023645017,1.0,30.0,17.5,0.044280004,0.0,0.0,0.0,0.0,0.0,0.044280004,0.044280004,3.0,0.0,0.044280004,57.5,0.2387662292339267,0.51291627,0.005,0.0053508393,1.0,0.0,1.0,58156.0,0.96177727,17.5,1.0967742,0.023645017,0.0073800003
1.0986123,2.3978953,0.6931472,0.6931472,1.609438,1.9459101,0.0,2.0,1.0,0.15384616,0.0,0.07463884,4673.936,93.0,-5.0523276,0.0,1.0773162,2.8999996,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.05,0.0,0.0,22.712425,0.3439604,0.03920005,0.07455193,0.07455193,0.058066,0.10265872,4.503554,15.584731,0.0,0.0,3.3672957,1.0,22.712425,0.3439604,0.03920005,0.058066,0.0,0.0,4.503554,0.07455193,15.584731,19.0,19.0,51.0,2020.0,1.0,0.0,0.0,0.0,2.0,52.28,0.26328143,0.0031542764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,46.583332,0.2476116007004442,0.37448904,0.00575,0.004678501,1.0,0.0,1.0,56786.0,0.94968593,0.0,0.09677419,0.0031542764,0.0
0.0,1.0986123,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.11111111,,8473.066,113.0,-4.5055447,0.0,,,,,,,,0.0,0.0,,,,,22.760532,0.38759586,0.05742085,-0.14682652,-0.14682652,0.057336,0.13497888,,,0.0,,3.4011974,1.0,22.760532,0.38759586,0.05742085,0.057336,0.0,,,-0.14682652,,19.0,19.0,51.0,2021.0,1.0,1.0,1.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,2.0,0.0,,53.75,,0.10637893,0.00625,,1.0,0.0,1.0,2512.0,0.0,,0.0,,
